serial_number,issued_by,project_id,status,type,methodology,date_issued,date_retired
CR0000000001,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000002,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000003,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000004,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000005,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000006,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000007,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000008,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000009,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000010,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000011,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000012,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000013,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000014,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000015,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000016,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000017,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000018,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000019,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000020,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000021,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000022,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000023,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000024,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000025,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
CR0000000026,CLIMATE_REFARM_PBC,PR00001,pre_retired,A,M1,2023-09-17,2023-09-17
